date,team
20180809,CLE
20180809,SEA
20180809,NYA
20180809,TBA
20180809,TOR
20180810,ATL
20180810,CHN
20180810,CIN
20180810,COL
20180810,NYN
20180810,SDN
20180810,SFN
20180810,ANA
20180810,BOS
20180810,CHA
20180810,DET
20180810,SEA
20180810,SLN
20180810,TEX
20180810,TBA
20180811,MIL
20180811,WAS
20180811,CIN
20180811,COL
20180811,MIA
20180811,PHI
20180811,PIT
20180811,OAK
20180811,BOS
20180811,BOS
20180811,CLE
20180811,MIN
20180811,SEA
20180811,SLN
20180811,NYA
20180811,TBA
20180812,ATL
20180812,CHN
20180812,ARI
