maxTemp,minTemp,wind,longitude,latitude
36.22,21.02,18.04,-85.7,46.1
36.32,20.22,18.19,-85.7,46.2
36.44,19.57,18.32,-85.7,46.3
36.54,19.57,18.84,-85.7,46.4
36.6,19.47,20.45,-85.7,46.5
36.72,19.56,21.42,-85.7,46.6
50.8,38.77,20.0,-85.6,41.8
50.42,39.07,19.78,-85.6,41.9
50.12,39.19,19.73,-85.6,42.0
49.27,39.58,20.9,-85.6,42.1
48.85,39.91,21.98,-85.6,42.2
48.68,39.95,22.1,-85.6,42.3
48.17,40.13,22.45,-85.6,42.4
47.87,40.18,22.5,-85.6,42.5
47.01,40.26,22.89,-85.6,42.6
46.3,39.46,23.11,-85.6,42.7
45.73,38.76,23.79,-85.6,42.8
45.09,38.38,24.51,-85.6,42.9
44.59,37.94,23.58,-85.6,43.0
44.58,37.75,23.02,-85.6,43.1
44.53,37.09,22.45,-85.6,43.2
